Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
19.06.2023;NS;13:45:00;SP4;SP;14:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
20.06.2023;NS;10:10:00;SP4;SP;10:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
21.06.2023;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
22.06.2023;NS;11:10:00;SP4;SP;11:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
23.06.2023;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
24.06.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
26.06.2023;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
27.06.2023;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
28.06.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
29.06.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
30.06.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
01.07.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
03.07.2023;NS;08:35:00;SP4;SP;09:15:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
04.07.2023;NS;09:10:00;SP4;SP;09:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
05.07.2023;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
06.07.2023;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
07.07.2023;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
08.07.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
10.07.2023;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
11.07.2023;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
12.07.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
13.07.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
14.07.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
15.07.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
