date,10,20,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2021-03-08,0.0,0.0,0.0,168.0,0.0,13.0,13.0,46488.44,1.8,8958.0,832.53,35401.0
2021-03-15,0.0,0.0,0.0,96.0,0.0,13.0,13.0,46766.05,41.97,13036.0,1513.43,37368.0
2021-03-22,0.0,0.0,0.0,0.0,0.0,13.0,13.0,46635.77,0.53,11654.0,1053.26,42353.0
2021-03-29,0.0,0.0,0.0,384.0,0.0,21.0,22.0,47005.91,11.370000000000001,10718.0,1134.7,38863.0
2021-04-05,0.0,0.0,0.0,2088.0,0.0,20.0,24.0,47105.16,4.47,9243.0,1120.73,44155.0
2021-04-12,0.0,0.0,0.0,1488.0,0.0,25.0,23.0,46592.05,19.21,12034.0,1361.08,42752.0
2021-04-19,0.0,0.0,0.0,192.0,0.0,17.0,19.0,46951.9,0.64,4847.0,871.8,21719.0
2021-04-26,0.0,0.0,0.0,0.0,0.0,19.0,18.0,47046.71,0.0,7778.0,1032.48,40433.0
2021-05-03,0.0,0.0,0.0,0.0,0.0,18.0,19.0,47222.11,20.59,11351.0,853.86,25462.0
2021-05-10,0.0,0.0,0.0,48.0,19200.0,22.0,21.0,47574.91,47.32,12791.0,1342.29,38058.0
2021-05-17,87.0,110.0,8.0,456.0,117600.0,27.0,26.0,47631.18,24.88,13763.0,616.66,36939.0
2021-05-24,609.0,232.0,31.0,216.0,364800.0,28.0,26.0,47736.89,31.68,11150.0,978.61,39693.0
2021-05-31,748.0,399.0,41.0,648.0,470400.0,22.0,23.0,47684.64,16.68,10904.0,934.73,42435.0
2021-06-07,1346.0,891.0,55.0,264.0,448800.0,22.0,22.0,48357.38,23.67,10900.0,762.4,29139.0
2021-06-14,1101.0,770.0,53.0,0.0,439200.0,20.0,19.0,48434.29,0.5700000000000001,7136.0,673.64,34425.0
2021-06-21,1070.0,665.0,47.0,48.0,403200.0,21.0,22.0,48728.25,24.330000000000002,10834.0,900.34,28654.0
2021-06-28,1167.0,687.0,51.0,696.0,412800.0,24.0,23.0,48505.26,4.81,10617.0,656.95,33100.0
2021-07-05,1295.0,689.0,50.0,864.0,462000.0,29.0,27.0,48747.26,56.11,12778.0,662.8,32195.0
2021-07-12,1639.0,743.0,43.0,1008.0,526800.0,32.0,30.0,48960.24,12.969999999999999,12911.0,748.0,29943.0
2021-07-19,2037.0,1194.0,53.0,1080.0,597600.0,32.0,28.0,49055.96,17.33,9466.0,993.44,40139.0
2021-07-26,2180.0,1144.0,51.0,1920.0,628800.0,32.0,28.0,48976.54,11.4,11398.0,706.02,37489.0
2021-08-02,2595.0,1346.0,54.0,2472.0,633600.0,32.0,28.0,48817.88,40.95,10970.0,1234.19,40493.0
2021-08-09,2414.0,1152.0,54.0,2112.0,590400.0,33.0,27.0,48745.24,28.21,11068.0,920.95,28170.0
2021-08-16,2153.0,1082.0,55.0,1848.0,598800.0,30.0,30.0,48851.92,34.71,11296.0,972.41,40232.0
2021-08-23,2052.0,1026.0,57.0,1704.0,612000.0,32.0,28.0,48759.19,50.15,11352.0,1098.3,31825.0
2021-08-30,1826.0,1010.0,55.0,1464.0,572400.0,30.0,27.0,48745.57,14.61,11363.0,1218.73,14023.0
2021-09-06,1275.0,795.0,53.0,696.0,516000.0,27.0,26.0,48618.94,0.0,10041.0,617.93,38806.0
2021-09-13,1379.0,694.0,53.0,288.0,446400.0,22.0,23.0,48910.57,8.26,9805.0,707.92,34032.0
2021-09-20,1146.0,603.0,52.0,0.0,360000.0,19.0,19.0,48601.97,6.63,11308.0,886.17,32347.0
