Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
09.06.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
10.06.2023;NS;13:45:00;SP2;SP;14:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
11.06.2023;NS;08:45:00;SP2;SP;09:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
11.06.2023;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
12.06.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
12.06.2023;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
13.06.2023;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
13.06.2023;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
14.06.2023;NS;10:15:00;SP2;SP;11:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
14.06.2023;NS;19:15:00;SP2;SP;19:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
15.06.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
15.06.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
16.06.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
16.06.2023;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
17.06.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
18.06.2023;NS;10:15:00;SP2;SP;11:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
21.06.2023;NS;12:15:00;SP2;SP;12:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
22.06.2023;NS;12:15:00;SP2;SP;13:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
23.06.2023;NS;18:10:00;SP2;SP;18:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
24.06.2023;NS;13:40:00;SP2;SP;14:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
24.06.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
25.06.2023;NS;13:15:00;SP2;SP;14:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
26.06.2023;NS;14:40:00;SP2;SP;15:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
27.06.2023;NS;09:00:00;SP2;SP;09:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
28.06.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
29.06.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
30.06.2023;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
30.06.2023;NS;19:15:00;SP2;SP;19:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
01.07.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
01.07.2023;NS;20:10:00;SP2;SP;20:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
02.07.2023;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
02.07.2023;NS;20:30:00;SP2;SP;21:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
03.07.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
03.07.2023;NS;15:00:00;SP2;SP;15:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
04.07.2023;NS;10:15:00;SP2;SP;10:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
04.07.2023;NS;16:00:00;SP2;SP;16:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
05.07.2023;NS;11:10:00;SP2;SP;11:50:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
05.07.2023;NS;16:30:00;SP2;SP;17:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
06.07.2023;NS;12:15:00;SP2;SP;13:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
06.07.2023;NS;17:10:00;SP2;SP;17:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
07.07.2023;NS;12:45:00;SP2;SP;13:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
07.07.2023;NS;18:10:00;SP2;SP;18:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
08.07.2023;NS;13:45:00;SP2;SP;14:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
08.07.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
09.07.2023;NS;14:15:00;SP2;SP;15:45:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
09.07.2023;NS;19:30:00;SP2;SP;20:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
10.07.2023;NS;08:40:00;SP2;SP;09:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
10.07.2023;NS;19:30:00;SP2;SP;20:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
11.07.2023;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
11.07.2023;NS;19:30:00;SP2;SP;20:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
12.07.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
12.07.2023;NS;20:10:00;SP2;SP;20:50:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
13.07.2023;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
13.07.2023;NS;18:30:00;SP2;SP;19:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
14.07.2023;NS;10:40:00;SP2;SP;12:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
14.07.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
15.07.2023;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
