date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,82,86,112,11,31,111,27,28,32,23,134,12,107,29,57,132,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-07-07,237.0,65.0,65.0,72.0,59.0,92.0,48.0,36.0,56.0,41.0,32.0,23.0,19.0,22.0,19.0,25.0,29.0,21.0,27.0,16.0,21.0,29.0,11.0,13.0,17.0,14.0,32.0,17.0,10.0,6.0,5.0,14.0,9.0,264.0,64800.0,3.0,3.0,6894.42,0.0,1390.0,192.99,7421.0
2019-07-08,339.0,98.0,97.0,77.0,78.0,79.0,93.0,45.0,63.0,39.0,34.0,25.0,41.0,25.0,19.0,30.0,30.0,24.0,29.0,9.0,21.0,30.0,22.0,19.0,17.0,27.0,20.0,19.0,9.0,6.0,10.0,20.0,9.0,312.0,60000.0,4.0,3.0,6877.84,1.31,1515.0,163.9,7379.0
2019-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,63600.0,4.0,3.0,6885.85,0.89,1753.0,181.79,7712.0
2019-07-10,139.0,107.0,101.0,74.0,43.0,84.0,59.0,54.0,51.0,0.0,0.0,12.0,42.0,40.0,29.0,40.0,20.0,22.0,0.0,34.0,1.0,20.0,35.0,16.0,24.0,50.0,17.0,44.0,8.0,7.0,9.0,46.0,9.0,312.0,62400.0,3.0,3.0,6919.35,2.56,2330.0,96.22,6673.0
2019-07-11,236.0,93.0,90.0,73.0,89.0,83.0,43.0,35.0,30.0,0.0,34.0,35.0,44.0,50.0,29.0,24.0,39.0,24.0,20.0,36.0,25.0,23.0,23.0,26.0,23.0,18.0,15.0,11.0,9.0,6.0,8.0,30.0,9.0,312.0,69600.0,5.0,3.0,6950.54,8.44,2399.0,85.42,5035.0
2019-07-12,212.0,100.0,37.0,45.0,79.0,71.0,41.0,38.0,22.0,0.0,48.0,31.0,28.0,49.0,30.0,31.0,38.0,24.0,29.0,22.0,28.0,24.0,18.0,30.0,26.0,29.0,6.0,17.0,3.0,7.0,6.0,18.0,9.0,312.0,76800.0,5.0,4.0,6956.58,0.11,1980.0,114.98,7373.0
2019-07-13,295.0,87.0,99.0,72.0,84.0,82.0,71.0,38.0,53.0,0.0,42.0,36.0,44.0,53.0,27.0,40.0,28.0,23.0,38.0,29.0,25.0,24.0,30.0,30.0,30.0,33.0,27.0,19.0,12.0,7.0,14.0,14.0,9.0,312.0,88800.0,5.0,5.0,6926.97,0.1,1792.0,166.51,7863.0
2019-07-14,366.0,133.0,98.0,88.0,90.0,98.0,87.0,43.0,40.0,36.0,81.0,20.0,57.0,62.0,34.0,35.0,85.0,29.0,30.0,24.0,27.0,22.0,20.0,26.0,23.0,27.0,0.0,25.0,13.0,8.0,13.0,24.0,9.0,312.0,84000.0,4.0,3.0,6905.3,0.11,2381.0,148.87,7731.0
2019-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,81600.0,5.0,5.0,6904.3,0.21000000000000002,2345.0,167.24,7402.0
2019-07-16,269.0,110.0,98.0,106.0,116.0,98.0,61.0,61.0,30.0,0.0,49.0,34.0,40.0,88.0,24.0,23.0,43.0,25.0,42.0,35.0,26.0,27.0,23.0,16.0,0.0,25.0,15.0,14.0,12.0,6.0,12.0,36.0,9.0,336.0,79200.0,5.0,3.0,6919.16,0.61,2316.0,173.52,7357.0
